Ticket ID,Customer Name,text,emotion,Technical Details
TKT00039,Customer39,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: DSL, Speed Test: 488 Mbps down / 72 Mbps up, Router: ISP Provided Modem"
TKT00040,Customer40,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: DSL, Speed Test: 272 Mbps down / 9 Mbps up, Router: Google Nest WiFi"
TKT00041,Customer41,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 448 Mbps down / 39 Mbps up, Router: ISP Provided Modem"
TKT00042,Customer42,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: DSL, Speed Test: 56 Mbps down / 33 Mbps up, Router: Google Nest WiFi"
TKT00043,Customer43,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Fiber, Speed Test: 271 Mbps down / 46 Mbps up, Router: Google Nest WiFi"
TKT00044,Customer44,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Cable, Speed Test: 391 Mbps down / 23 Mbps up, Router: Linksys Velop"
TKT00045,Customer45,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Satellite, Speed Test: 160 Mbps down / 48 Mbps up, Router: Linksys Velop"
TKT00046,Customer46,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: DSL, Speed Test: 354 Mbps down / 46 Mbps up, Router: ISP Provided Modem"
TKT00047,Customer47,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Cable, Speed Test: 147 Mbps down / 83 Mbps up, Router: TP-Link Archer"
TKT00048,Customer48,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: DSL, Speed Test: 78 Mbps down / 15 Mbps up, Router: TP-Link Archer"
TKT00049,Customer49,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Satellite, Speed Test: 250 Mbps down / 34 Mbps up, Router: Google Nest WiFi"
TKT00050,Customer50,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: Fiber, Speed Test: 320 Mbps down / 79 Mbps up, Router: Linksys Velop"
TKT00051,Customer51,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Cable, Speed Test: 233 Mbps down / 57 Mbps up, Router: Linksys Velop"
TKT00052,Customer52,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Fiber, Speed Test: 372 Mbps down / 47 Mbps up, Router: TP-Link Archer"
TKT00053,Customer53,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Cable, Speed Test: 193 Mbps down / 70 Mbps up, Router: Netgear Nighthawk"
TKT00054,Customer54,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: Satellite, Speed Test: 437 Mbps down / 62 Mbps up, Router: Netgear Nighthawk"
TKT00055,Customer55,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 225 Mbps down / 18 Mbps up, Router: Google Nest WiFi"
TKT00056,Customer56,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Cable, Speed Test: 276 Mbps down / 9 Mbps up, Router: ISP Provided Modem"
TKT00057,Customer57,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: Cable, Speed Test: 483 Mbps down / 23 Mbps up, Router: ISP Provided Modem"
TKT00058,Customer58,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Cable, Speed Test: 381 Mbps down / 56 Mbps up, Router: Linksys Velop"
TKT00059,Customer59,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Cable, Speed Test: 412 Mbps down / 3 Mbps up, Router: ISP Provided Modem"
TKT00060,Customer60,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Satellite, Speed Test: 346 Mbps down / 86 Mbps up, Router: ISP Provided Modem"
TKT00061,Customer61,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Satellite, Speed Test: 181 Mbps down / 45 Mbps up, Router: Linksys Velop"
TKT00062,Customer62,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Cable, Speed Test: 399 Mbps down / 4 Mbps up, Router: Netgear Nighthawk"
TKT00063,Customer63,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Satellite, Speed Test: 288 Mbps down / 93 Mbps up, Router: Linksys Velop"
TKT00064,Customer64,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: DSL, Speed Test: 195 Mbps down / 67 Mbps up, Router: ISP Provided Modem"
TKT00065,Customer65,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Satellite, Speed Test: 408 Mbps down / 70 Mbps up, Router: Google Nest WiFi"
TKT00066,Customer66,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 51 Mbps down / 59 Mbps up, Router: Linksys Velop"
TKT00067,Customer67,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Cable, Speed Test: 201 Mbps down / 3 Mbps up, Router: TP-Link Archer"
TKT00068,Customer68,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Satellite, Speed Test: 217 Mbps down / 53 Mbps up, Router: Google Nest WiFi"
TKT00069,Customer69,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: Fiber, Speed Test: 71 Mbps down / 55 Mbps up, Router: Linksys Velop"
TKT00070,Customer70,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: DSL, Speed Test: 50 Mbps down / 78 Mbps up, Router: TP-Link Archer"
TKT00071,Customer71,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Satellite, Speed Test: 228 Mbps down / 28 Mbps up, Router: ISP Provided Modem"
TKT00072,Customer72,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 294 Mbps down / 21 Mbps up, Router: Google Nest WiFi"
TKT00073,Customer73,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Satellite, Speed Test: 107 Mbps down / 6 Mbps up, Router: Linksys Velop"
TKT00074,Customer74,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Fiber, Speed Test: 370 Mbps down / 85 Mbps up, Router: TP-Link Archer"
TKT00075,Customer75,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Fiber, Speed Test: 439 Mbps down / 83 Mbps up, Router: TP-Link Archer"
TKT00076,Customer76,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Cable, Speed Test: 65 Mbps down / 89 Mbps up, Router: Netgear Nighthawk"
TKT00077,Customer77,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Satellite, Speed Test: 86 Mbps down / 8 Mbps up, Router: Netgear Nighthawk"
TKT00078,Customer78,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Fiber, Speed Test: 439 Mbps down / 45 Mbps up, Router: Netgear Nighthawk"
TKT00079,Customer79,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Satellite, Speed Test: 193 Mbps down / 25 Mbps up, Router: Google Nest WiFi"
TKT00080,Customer80,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Cable, Speed Test: 322 Mbps down / 42 Mbps up, Router: Google Nest WiFi"
TKT00081,Customer81,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Fiber, Speed Test: 263 Mbps down / 36 Mbps up, Router: Google Nest WiFi"
TKT00082,Customer82,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Satellite, Speed Test: 180 Mbps down / 3 Mbps up, Router: Linksys Velop"
TKT00083,Customer83,"Customer: I don’t understand how to set up my new modem. The instructions are unclear.
Agent: No worries! I’ll guide you through the setup step by step.",Confusion,"Connection Type: DSL, Speed Test: 17 Mbps down / 48 Mbps up, Router: TP-Link Archer"
TKT00084,Customer84,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: DSL, Speed Test: 468 Mbps down / 89 Mbps up, Router: Linksys Velop"
TKT00085,Customer85,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Satellite, Speed Test: 72 Mbps down / 22 Mbps up, Router: Netgear Nighthawk"
TKT00086,Customer86,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: DSL, Speed Test: 228 Mbps down / 60 Mbps up, Router: ISP Provided Modem"
TKT00087,Customer87,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Satellite, Speed Test: 111 Mbps down / 52 Mbps up, Router: Linksys Velop"
TKT00088,Customer88,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: DSL, Speed Test: 305 Mbps down / 10 Mbps up, Router: Google Nest WiFi"
TKT00089,Customer89,"Customer: I have called multiple times, and my issue is still unresolved!
Agent: I sincerely apologize. Let me escalate this to a higher support tier.",Frustration,"Connection Type: DSL, Speed Test: 112 Mbps down / 21 Mbps up, Router: Linksys Velop"
TKT00090,Customer90,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: DSL, Speed Test: 348 Mbps down / 39 Mbps up, Router: TP-Link Archer"
TKT00091,Customer91,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Satellite, Speed Test: 61 Mbps down / 83 Mbps up, Router: Linksys Velop"
TKT00092,Customer92,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Fiber, Speed Test: 143 Mbps down / 6 Mbps up, Router: Google Nest WiFi"
TKT00093,Customer93,"Customer: I don’t understand how to set up my new modem. The instructions are unclear.
Agent: No worries! I’ll guide you through the setup step by step.",Confusion,"Connection Type: DSL, Speed Test: 198 Mbps down / 30 Mbps up, Router: Google Nest WiFi"
TKT00094,Customer94,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: DSL, Speed Test: 363 Mbps down / 53 Mbps up, Router: TP-Link Archer"
TKT00095,Customer95,"Customer: I’ve had repeated outages despite multiple technician visits. This is unacceptable.
Agent: I’m really sorry for the inconvenience. Let me escalate your case for priority handling.",Disappointment,"Connection Type: Cable, Speed Test: 446 Mbps down / 26 Mbps up, Router: Netgear Nighthawk"
TKT00096,Customer96,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Cable, Speed Test: 334 Mbps down / 7 Mbps up, Router: TP-Link Archer"
TKT00097,Customer97,"Customer: Your technician was very professional and fixed my issue in no time.
Agent: We appreciate your feedback! Have a great day!",Satisfaction,"Connection Type: Cable, Speed Test: 374 Mbps down / 42 Mbps up, Router: ISP Provided Modem"
TKT00098,Customer98,"Customer: My router just stopped working, and I have an important meeting in 10 minutes!
Agent: Let’s try a quick reset. If that doesn’t work, I’ll arrange for a replacement.",Urgency,"Connection Type: Satellite, Speed Test: 40 Mbps down / 6 Mbps up, Router: ISP Provided Modem"
TKT00099,Customer99,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Fiber, Speed Test: 113 Mbps down / 39 Mbps up, Router: TP-Link Archer"
TKT00100,Customer100,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Fiber, Speed Test: 281 Mbps down / 26 Mbps up, Router: ISP Provided Modem"
TKT00101,Customer101,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Fiber, Speed Test: 107 Mbps down / 86 Mbps up, Router: Google Nest WiFi"
TKT00102,Customer102,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Fiber, Speed Test: 285 Mbps down / 58 Mbps up, Router: ISP Provided Modem"
TKT00103,Customer103,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: DSL, Speed Test: 344 Mbps down / 40 Mbps up, Router: TP-Link Archer"
TKT00104,Customer104,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Satellite, Speed Test: 215 Mbps down / 69 Mbps up, Router: Google Nest WiFi"
TKT00105,Customer105,"Customer: Your support team told me this would be fixed a week ago, but nothing has changed!
Agent: I sincerely apologize. Let me check the status and push for a resolution.",Disappointment,"Connection Type: Cable, Speed Test: 419 Mbps down / 88 Mbps up, Router: ISP Provided Modem"
TKT00106,Customer106,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Cable, Speed Test: 165 Mbps down / 43 Mbps up, Router: Google Nest WiFi"
TKT00107,Customer107,"Customer: I don’t understand how to set up my new modem. The instructions are unclear.
Agent: No worries! I’ll guide you through the setup step by step.",Confusion,"Connection Type: Cable, Speed Test: 71 Mbps down / 71 Mbps up, Router: Netgear Nighthawk"
TKT00108,Customer108,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Fiber, Speed Test: 32 Mbps down / 33 Mbps up, Router: TP-Link Archer"
TKT00109,Customer109,"Customer: What’s the difference between static and dynamic IP? Do I need to change anything?
Agent: Good question! A static IP remains the same, while a dynamic one changes over time.",Confusion,"Connection Type: Cable, Speed Test: 221 Mbps down / 88 Mbps up, Router: Google Nest WiFi"
TKT00110,Customer110,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Fiber, Speed Test: 206 Mbps down / 49 Mbps up, Router: TP-Link Archer"
TKT00111,Customer111,"Customer: My internet is completely down! I work from home, and I need this fixed now!
Agent: I understand. Let me check if there is an outage in your area.",Urgency,"Connection Type: Fiber, Speed Test: 169 Mbps down / 10 Mbps up, Router: ISP Provided Modem"
TKT00112,Customer112,"Customer: Wow! That was quick. My speed is back to normal. Thanks!
Agent: Glad to help! Let us know if you need anything else.",Satisfaction,"Connection Type: Satellite, Speed Test: 91 Mbps down / 46 Mbps up, Router: Linksys Velop"
TKT00113,Customer113,"Customer: My internet keeps disconnecting! I reboot the router, but it still happens.
Agent: I understand your frustration. Let’s check your connection stability.",Frustration,"Connection Type: Fiber, Speed Test: 336 Mbps down / 26 Mbps up, Router: ISP Provided Modem"
TKT00114,Customer114,"Customer: Why is my speed so slow even after upgrading my plan?!
Agent: Let me run a speed test and check your network traffic.",Frustration,"Connection Type: Fiber, Speed Test: 20 Mbps down / 11 Mbps up, Router: Google Nest WiFi"
